Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pitch,Roll,Yaw,Highlighted,RightAngle
2025-11-15T12:52:40.597488,-1.193360716337338,6.471123656257987,7.307637074030936,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,0.0,0.0,0.0,false,false
2025-11-15T12:52:40.597612,-1.1335699112387374,6.476939181797206,7.139563013333827,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-0.26346065177764544,0.6881793440212576,0.8218801927178134,false,false
2025-11-15T12:52:40.597628,-1.0327871516929008,6.449039449449629,7.29151793778874,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-0.9139796138906702,-0.034416457475309414,1.3454065519364633,false,false
2025-11-15T12:52:40.597639,-0.954878333985107,6.400692696450278,7.476667982642539,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-1.4288739501824415,-0.9593511577552221,1.5447277924447462,false,false
2025-11-15T12:52:40.597650,-1.0331722516712034,6.366050598560832,7.594068578036968,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-1.0180337684553846,-1.5529663632665347,0.5216366595619775,false,false
2025-11-15T12:52:40.597663,-1.1267558941690368,6.302368818491232,7.717076088563772,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-0.5182666033818162,-2.2880491477098275,-0.7574122599092021,false,false
2025-11-15T12:52:40.597674,-1.1167182032986602,6.270826905354625,7.816864860840724,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-0.6117970928363663,-2.7886161089107517,-0.9713092336440781,false,false
2025-11-15T12:52:40.597684,-1.0862755926809768,6.308296248011175,7.819201893005811,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-0.7992352930884365,-2.63027460599627,-0.564859847802083,false,false
2025-11-15T12:52:40.597698,-1.0426395313124885,6.343182585980685,7.730938646393042,-0.16096286475658417,-0.18035782873630524,-0.004886918235570192,-6.937500476837158,-4.3125,-34.61250305175781,-1.0180055447881706,-2.1571718052283018,0.10932708109166356,false,false
2025-11-15T12:52:40.796768,-1.0606021471908207,6.345371495855943,7.618312464752307,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,-0.8644541114869071,-1.7345509118936775,-0.5546568286027878,false,false
2025-11-15T12:52:40.796973,-1.1404708419288454,6.312966471499749,7.502777152557428,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,-0.3359698680549599,-1.447980232900406,-1.158477507970474,false,false
2025-11-15T12:52:40.796988,-1.2321500079852967,6.31411177197424,7.386983421096829,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,0.2558715119177224,-1.0032574833331225,-1.7372898241082595,false,false
2025-11-15T12:52:40.797016,-1.2184680947175934,6.350576908783751,7.292296899681105,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,0.21147739237340968,-0.47448158080452885,-1.3145700184597189,false,false
2025-11-15T12:52:40.797030,-1.1945783023293473,6.360733524658599,7.326907879772193,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,0.04854007319187392,-0.5634774093447632,-1.133289789298999,false,false
2025-11-15T12:52:40.797044,-1.256212657901429,6.329919584442337,7.481800678701404,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,0.3341434531916079,-1.2931847573697297,-2.053581039189794,false,false
2025-11-15T12:52:40.797062,-1.4329920739992374,6.264263276184181,7.581380666956903,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,1.3199432991163436,-1.959934651199454,-3.9884343133948335,false,false
2025-11-15T12:52:40.797078,-1.5372342333726046,6.194047274154713,7.618309170835019,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,1.9279108624150618,-2.413067656816658,-5.2190396901883815,false,false
2025-11-15T12:52:40.797092,-1.4801827304329453,6.1843630383224735,7.536274984892607,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,1.6630077064782922,-2.153079646592502,-4.635238519577925,false,false
2025-11-15T12:52:40.797110,-1.3927337344867974,6.166958645473493,7.413901843337417,-0.07681624591350555,-0.09300415962934494,-0.047494735568761826,-7.2150005340576175,-4.215000009536743,-34.37625274658203,1.2476576737310952,-1.771790178777735,-3.744347995601032,false,false
2025-11-15T12:52:40.869256,-1.3391388265482083,6.147189535444266,7.409245748176277,-0.040317077189683914,0.0665842592716217,-0.06643154472112656,-7.433250541687012,-4.095750026702881,-34.168502502441406,0.9486394339003628,-1.8445214493571598,-3.859232110719148,false,false
2025-11-15T12:52:40.869329,-1.2869176670010634,6.154952008399013,7.507715353793949,-0.040317077189683914,0.0665842592716217,-0.06643154472112656,-7.433250541687012,-4.095750026702881,-34.168502502441406,0.5808104429883487,-2.1803376774065057,-3.5630685552709735,false,false
