node_id,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,from_marker,to_marker,node_index,total_nodes
0,0.0,0.0,-36.861990753173835,-21.95832109680176,-39.3639014831543,-0.7867108911374154,1.1614133140362188,1.127130944066396,1,11,0,101
1,-0.45,0.0,-37.448944181002105,-21.807367947387696,-38.52800363229605,-0.3376143052294068,2.604347542929314,1.4025138794605851,1,11,1,101
2,-0.9,0.0,-37.20548853279935,-20.40377505742563,-38.5992046658128,0.09988341663372485,-4.540197132121784,64.4956481005064,1,11,2,101
3,-1.3499999999999999,0.0,-36.94701088206911,-20.10920787359744,-37.674277726307054,0.02930571657431457,-6.450885077617965,187.30190567252941,1,11,3,101
4,-1.8,0.0,-36.92835166065535,-19.948071499963056,-36.14184735903541,-0.9496344600097691,-6.706596753560191,130.94282160624064,1,11,4,101
5,-2.25,0.0,-37.321235792209265,-21.473193482227522,-33.54114154991961,0.9610890790839778,-7.037695458779721,292.37958736773965,1,11,5,101
6,-2.6999999999999997,0.0,-37.122327199898535,-22.309819740947205,-32.64021499886499,-1.0154684494337654,-10.814447143198244,343.29714785132086,1,11,6,101
7,-3.1500000000000004,0.0,-36.16426565451444,-23.354623349457878,-32.920932716396514,1.706798346041938,-9.503727445110387,342.4225910703266,1,11,7,101
8,-3.6,0.0,-35.67310621524078,-23.44515161006873,-33.53022632592661,-1.5458309834691109,-11.479911369755387,341.7946340192077,1,11,8,101
9,-4.05,0.0,-34.713466806946926,-24.164417490748992,-33.98565247214639,0.8199796009362925,-11.08886967927911,313.0734000476075,1,11,9,101
10,-4.5,0.0,-34.269123061574966,-23.78305224700795,-34.00610748900863,-3.4257021291006984,-11.858436832805335,341.4177072047729,1,11,10,101
11,-4.95,0.0,-33.66447184615083,-24.019546448162735,-33.158776176624286,1.9608042939827366,-10.505259316438936,340.24940104815744,1,11,11,101
12,-5.3999999999999995,0.0,-33.59695469978601,-23.81491349227734,-32.52934457135276,-1.8073623676397033,-11.697957063792696,339.8992432146578,1,11,12,101
13,-5.8500000000000005,0.0,-32.89050707089958,-24.67118850785275,-31.903336569350706,1.709912197946514,-7.468727938286297,341.1908628132715,1,11,13,101
14,-6.300000000000001,0.0,-33.065824511585156,-25.356078444825357,-29.98223735644124,-2.9977600385245537,-4.972569409633819,343.09884486207534,1,11,14,101
15,-6.75,0.0,-33.381486770961764,-25.64464089876234,-28.50544770442331,1.1249069398527847,-6.270975204979682,338.67739724906545,1,11,15,101
16,-7.2,0.0,-33.71470432920874,-25.26870301240783,-27.986588433206904,-2.069506856959751,-6.9825693938018905,339.33600065716325,1,11,16,101
17,-7.65,0.0,-33.95594635983917,-25.220339714062455,-27.381092430620104,0.8391809710813999,-5.8424719406760826,338.8883013350925,1,11,17,101
18,-8.1,0.0,-34.61187753309746,-24.83324809275841,-26.212542618603962,-2.798363806602691,-7.257862324172559,338.59924490115696,1,11,18,101
19,-8.55,0.0,-34.512145348043575,-25.464466783740058,-24.435271729352305,1.149450051680767,-6.639763197453949,335.6550596829156,1,11,19,101
20,-9.0,0.0,-34.69287866980489,-25.38753945307463,-22.40386912574251,-1.7595026641951275,-6.258799803463133,335.70927547544085,1,11,20,101
21,-9.45,0.0,-34.83349347548629,-25.420957572761303,-20.78971426585332,1.1650597680523438,-7.386672724061423,332.59220046393415,1,11,21,101
22,-9.9,0.0,-35.59032374118922,-24.756841475830946,-20.849298585756717,-4.2231941619529305,-7.245398672351286,335.7202647638078,1,11,22,101
23,-10.35,0.0,-34.973129919984444,-25.668880247764402,-21.86504848144159,2.0230112593759713,-6.0250868787525,333.76230821752023,1,11,23,101
24,-10.799999999999999,0.0,-34.48762092875871,-26.604148484756024,-23.710212296453243,-3.1763974758973985,-8.108776016396696,334.0088462468394,1,11,24,101
25,-11.25,0.0,-34.636264571245434,-27.658303654091306,-25.247605380020516,-0.377411241518535,-8.259057998080207,332.9627941743224,1,11,25,101
