x,y,MagX,MagY,MagZ,Pitch,Roll,Yaw,Highlighted,RightAngle
-67.5,0.0,46.5,-6.600000381469727,-33.618751525878906,0.0,0.0,0.0,False,False
-67.47,0.0,46.5,-6.600000381469727,-33.618751525878906,-0.5218784948069946,1.3142137737092483,-0.5720053205984215,False,False
-67.43,0.0,46.5,-6.600000381469727,-33.618751525878906,0.136040065161147,2.5276421942072034,-2.0445318988284065,False,False
-67.4,0.0,46.5,-6.600000381469727,-33.618751525878906,0.8056297739340401,2.229743433622609,-2.4060242092397175,False,False
-67.36,0.0,46.5,-6.600000381469727,-33.618751525878906,0.8519105707723824,0.7752064500937621,-1.3250125565951123,False,False
-67.33,0.0,46.5,-6.600000381469727,-33.618751525878906,0.6507408022781007,-0.3264885200302103,-0.2842749829109259,False,False
-67.29,0.0,46.5,-6.600000381469727,-33.618751525878906,0.8730950348630273,-0.8627787333435606,-0.0387211234512498,False,False
-67.26,0.0,46.5,-6.600000381469727,-33.618751525878906,1.1482766162221214,-0.5650881063354447,-0.5096102245283411,False,False
-67.22,0.0,46.5,-6.600000381469727,-33.618751525878906,0.7907783343958137,0.2905757277561207,-0.8918223347360943,False,False
-67.19,0.0,46.5,-6.600000381469727,-33.618751525878906,0.5238079605277282,1.1126529206956377,-1.306342280336381,False,False
-67.15,0.0,46.5,-6.600000381469727,-33.618751525878906,1.066638177654205,1.0037722912278255,-1.6886942454060971,False,False
-67.12,0.0,46.5,-6.600000381469727,-33.618751525878906,1.605779336157628,1.4956262823731308,-2.544006182508891,False,False
-67.08,0.0,46.5,-6.600000381469727,-33.618751525878906,0.8247237699376342,2.24437077684653,-2.433886580405897,False,False
-67.05,0.0,46.5,-6.600000381469727,-33.618751525878906,-0.6418431499644459,2.5845209012325228,-1.4137184943797363,True,False
-67.5,0.0,46.44375,-6.431250381469726,-33.776251220703124,1.0931031633984247,6.678184350420878,-6.185387052641904,False,False
-67.48,0.0,46.44375,-6.431250381469726,-33.776251220703124,2.0899277341379374,8.674770789935224,-8.48631611938142,False,False
-67.46,0.0,46.44375,-6.431250381469726,-33.776251220703124,-0.7892408464383429,4.432972385557534,-2.9084725469536217,False,False
-67.44,0.0,46.44375,-6.431250381469726,-33.776251220703124,-0.2924899311948312,4.1963336146043275,-3.1820178409195528,False,False
-67.41,0.0,46.44375,-6.431250381469726,-33.776251220703124,3.3842694105936566,7.223240229969754,-8.762773072034893,False,False
-67.39,0.0,46.44375,-6.431250381469726,-33.776251220703124,5.134702403935584,8.057702744902066,-11.093823813133705,False,False
-67.37,0.0,46.44375,-6.431250381469726,-33.776251220703124,3.769218498578311,6.430782178873976,-8.579247696815298,False,False
-67.35,0.0,46.44375,-6.431250381469726,-33.776251220703124,2.6225971077736165,4.836089380485362,-6.317156766155442,False,False
-67.33,0.0,46.44375,-6.431250381469726,-33.776251220703124,3.311721895541295,3.527522429045753,-5.985107649759058,False,False
-67.31,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,4.60525541723108,2.4462984872105196,-6.760337806743657,False,False
-67.29,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,4.955926671281851,0.9676227257531592,-5.888811008862419,False,False
-67.26,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,4.749349355227398,0.6015571162606861,-5.388953174119575,False,False
-67.24,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,4.703972688454492,1.920029027168745,-6.431617988004948,False,False
-67.22,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,5.535884029695602,3.8333530370867095,-8.761102400112545,False,False
-67.2,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,6.226054870877711,4.230159742569903,-9.759918667610698,False,False
-67.18,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,6.135025626835127,2.9066437564350593,-8.620858766707329,False,False
-67.16,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,5.79933661449399,0.9650842678785452,-6.691297860787085,False,False
-67.14,0.0,46.47000015258789,-6.180000343322754,-33.98475143432617,5.724593076229471,-1.045804483143158,-4.881521576635624,False,False
