node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-22.5,0.0,-30.825000762939453,-22.5,-34.14375305175781,-1.2568762320991236,1.665273325150141,-141.68984236138857,False,10
1,-22.95,0.0,-31.19126185209853,-22.035195856508995,-34.0278287340247,1.922176678346604,3.8152935023799333,-185.0482724304638,False,23
2,-23.4,0.0,-31.70050846435547,-21.321205720350477,-33.85177562717014,-3.5168624020616646,-4.103957273278211,-41.270650618423154,False,18
3,-23.85,0.0,-32.002039920223716,-21.677877042258526,-32.36634728714045,-2.0611455118437982,-2.659960587893841,-34.912070289215855,False,33
4,-24.3,0.0,-31.672820800545896,-22.073955629096265,-30.676460435870997,-2.259160468427001,-3.185421781906733,-4.706205184885379,False,28
5,-24.75,0.0,-31.671167206304187,-22.587650270676274,-28.08913338465277,-3.3349485741440783,-3.66281500947725,-7.5584225416778414,False,23
6,-25.2,0.0,-31.784726918039432,-21.220438269749376,-27.21055713882508,-4.438457076556705,-3.9309385595034185,-6.2683664473327685,False,31
7,-25.65,0.0,-31.215774313212673,-20.195349527192068,-25.830470161562246,-4.092694065201472,-5.1222520711040405,-7.207189412316956,False,22
8,-26.1,0.0,-30.564005447057387,-19.22072456398704,-24.517926698491877,-6.692369411567354,-3.2159392843959647,-4.422418161752529,False,32
9,-26.55,0.0,-29.271476174317094,-18.83558393536362,-24.044934100134437,-4.699281826396304,-3.9861908986782906,-6.150698411782534,False,22
10,-27.0,0.0,-27.769137782872455,-17.96863046259544,-24.01182651592601,-8.078493999663861,-5.154153758063866,-18.006732116915444,False,27
11,-27.45,0.0,-26.53139246118153,-17.787698021448424,-23.889428663426404,-4.965766161416505,-5.366615094287763,-6.292027380200879,False,22
12,-27.9,0.0,-25.352961896564754,-17.407678356300263,-23.886130599030647,-6.602313834762055,-5.056801423779691,-20.75895468128346,False,23
13,-28.35,0.0,-24.291371942813385,-17.340789092922844,-23.91742427469022,-5.417824052575253,-4.773770706019509,-16.797669657272603,False,31
14,-28.8,0.0,-22.935516646909118,-17.38574483364705,-23.974785351643842,-5.604144570166827,-4.673551295956139,-30.066426617485376,False,29
15,-29.25,0.0,-21.43836339961744,-17.713351502385688,-23.673805221583944,-5.20554663129952,-4.649855246394251,-7.086192959035841,False,21
16,-29.7,0.0,-20.346382147342457,-17.24936682389504,-23.829442540019496,-6.373579903814539,-4.968207280537634,-37.4522396092925,False,23
17,-30.15,0.0,-18.427183439592774,-16.445062787309286,-24.086697074938154,-2.8503874147599064,-4.020374004849193,-38.24925498719848,False,32
18,-30.6,0.0,-17.450367535887427,-14.503786293586648,-24.544975708481918,-6.611759780575333,-6.790950492329683,-48.339639106292935,False,23
19,-31.05,0.0,-17.48549568895447,-13.561746901920714,-24.52282076117679,-3.51267332954632,-4.792594037048971,-161.46965133529585,False,22
20,-31.5,0.0,-18.448714994247418,-12.755897143010358,-24.486384815623822,-5.449342956562351,-4.407939150353965,-242.2922705512878,False,32
21,-31.95,0.0,-19.670708654155128,-12.483325585242792,-24.444787398523772,-2.825395098915723,-5.734610768439803,-135.82917790108962,False,26
22,-32.4,0.0,-21.452553710019078,-11.779426034063748,-24.62670105929271,-7.062141525870862,-5.869061835807274,-244.0552660461551,False,23
23,-32.85,0.0,-22.328297893910573,-11.734166050578517,-24.21720982576508,-3.7668157866393903,-3.7841230365887646,-297.8168548379597,False,32
24,-33.3,0.0,-23.390936336597875,-11.100568371112404,-23.689238450530294,-6.919364719514742,-5.252168243160384,-313.2519747052132,False,27
25,-33.75,0.0,-24.083313358773818,-10.76442392691567,-23.215067779913728,-3.657764594277857,-5.561000274994891,-277.1634277696402,False,23
26,-34.2,0.0,-24.877564665071343,-10.389656363144555,-22.939083507078514,-5.999151258530846,-6.373726015787213,-267.71163691196415,False,29
27,-34.65,0.0,-25.450464572602886,-10.70683110676825,-22.605916674920053,-3.32866649126175,-6.891967789884675,-124.49374886809028,False,17
28,-35.1,0.0,-26.27016008226858,-10.878413542000548,-22.47801600170093,-6.328991100843976,-7.3300681251361475,-188.05119810893217,False,32
29,-35.55,0.0,-27.062744152608314,-12.377021485661654,-21.955530964934752,-3.7701725418970673,-6.715317942406903,-13.9059839767091,False,27
30,-36.0,0.0,-27.425122699239783,-13.154753270340443,-21.81224348882392,-5.749076414832003,-7.028127140202668,-50.46817453269409,False,22
31,-36.45,0.0,-27.048093591414755,-14.271758769930239,-21.292305919019107,-3.6634883765584823,-5.246795004282892,-14.487326843965072,False,32
32,-36.9,0.0,-26.25449496552197,-14.930142770011416,-21.143961987659647,-6.650627912719713,-8.528028174592107,-6.177688356082442,False,22
33,-37.35,0.0,-24.74683805838341,-15.305827976307707,-21.088963965870107,-2.3207874191308746,-7.228881840540974,-7.684934982415251,False,23
34,-37.8,0.0,-23.568936904807977,-15.027885889731103,-21.358812674925552,-4.698689773376884,-8.140469631774172,-7.308093865265757,False,31
35,-38.25,0.0,-22.7525159255839,-14.932176797391085,-21.354697402298708,-2.6614337353510558,-7.382253966113369,-7.273435475098814,False,26
36,-38.7,0.0,-22.434502208287984,-14.866969985918931,-21.598104729172114,-4.857846098552711,-8.310283694202365,-7.1009536211659725,False,25
37,-39.15,0.0,-22.137270899534627,-15.392092881742393,-22.01607166206361,-1.9688982450477344,-7.205788330191327,-7.632845983131788,False,27
38,-39.6,0.0,-22.078731009858284,-15.469165489497527,-22.83878238491463,-6.65997485827367,-8.733045138171816,-6.871014353932828,False,18
39,-40.05,0.0,-22.007506118644073,-15.687994212460207,-23.362534926766614,-2.5215000701174803,-7.4923656897703035,-6.893142349373852,False,36
40,-40.5,0.0,-22.232263861073964,-15.54813034461891,-23.663416478703198,-4.5252795273963855,-8.939831266489577,-6.982818393747772,False,22
41,-40.95,0.0,-21.93236919832252,-15.760179479861115,-23.905147781624464,-2.3162285977769153,-9.199687543856111,-8.24158033591668,False,23
42,-41.4,0.0,-19.744086112107777,-17.74422835935068,-23.57953434809742,-5.739681586711915,-14.051509590743645,-18.69121091511882,True,63
43,-41.4,-0.45,-7.793042374450843,-24.548228039979616,-21.447375216661182,-2.224998618957544,-12.110134617223327,-51.47142428271929,False,26
44,-41.4,-0.9,3.4611060988167597,-27.396893893467794,-19.956114141348202,-2.8737366130503275,-10.150868420297884,-88.85895692814819,False,23
45,-41.4,-1.35,10.025654668679246,-29.165933865576463,-19.233079882916357,-4.711684223599287,-7.164694554032953,-112.39117469292724,False,23
46,-41.4,-1.8,15.337933435530786,-30.458787963272364,-18.176927111605973,-2.938257247627733,-4.7299275954299835,-126.27347386058506,False,33
47,-41.4,-2.25,17.270264383075446,-30.867317068174124,-18.054119129810577,-6.628879325799535,-9.024523047764141,-127.070337637614,False,26
48,-41.4,-2.7,18.82687197750303,-30.201024540199672,-18.097022858968327,-4.031181668761053,-9.191565914654237,-129.57233500786867,False,23
49,-41.4,-3.15,19.303878227969356,-29.564167733380238,-17.74116011660212,-4.975428792808614,-9.078027898708617,-131.66292742899194,False,22
50,-41.4,-3.6,19.73565240095953,-28.173563823165058,-17.324765230234206,-3.7647499119134684,-7.735105482181952,-135.2820852927055,False,32
