node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-13.5,-9.0,-1.3173864306825578,2.835795600486524,-45.04795569217566,-1.5041015871075956,0.3053117182988997,2.710889860834062,False,33
1,-13.05,-9.0,-1.7515042491947526,3.1021733368890945,-44.028142536843056,1.5498726512138843,3.4308525983046376,-1.8645320807035946,False,22
2,-12.6,-9.0,-2.575511479496841,3.9049261145273593,-42.42671377581909,-1.223601615264771,-3.2802366658650586,-0.4654385384972093,False,32
3,-12.15,-9.0,-4.462877712951289,5.156319211454205,-41.39946306223328,0.45365665730171634,-5.267427811521995,-7.659018758052873,False,28
4,-11.7,-9.0,-5.371145084791172,6.612962147656597,-40.83135615000449,-3.3050494337792453,-7.502580129970513,-3.7660874839553253,False,28
5,-11.25,-9.0,-6.3935337701083,7.646062957753123,-40.61617150245972,0.1695847934533712,-9.394690496582415,-11.622027799726272,False,23
6,-10.8,-9.0,-6.773924954524594,8.584720896617414,-40.32372292224683,-3.029828210516177,-8.939259554297596,-6.727649221522053,False,32
7,-10.35,-9.0,-7.372396922015437,9.582673717480366,-40.13073630938674,-0.9299098635136558,-9.633893405039395,-10.685459818872497,False,31
8,-9.9,-9.0,-6.861306703710365,10.892249739070484,-40.12562496406693,-4.219246503446658,-11.159854536825728,-4.788386744255128,False,22
9,-9.45,-9.0,-6.517620492605497,11.782320002392975,-40.350555769023686,0.165722094227695,-10.482334018465073,-9.527397412506252,False,28
10,-9.0,-9.0,-5.483583765852503,13.346358234237,-40.87187741300764,-2.777874738149192,-10.904406850284154,-2.785922398201684,False,32
11,-8.55,-9.0,-4.863486336089197,14.795930975649572,-41.66808351791832,1.6035538849014177,-12.688599284252742,-7.340864938047934,False,27
12,-8.1,-9.0,-3.7220638679080382,15.84873499771901,-42.0471792368616,-3.3556242687858147,-13.566485464251565,1.5691764429257853,False,22
13,-7.65,-9.0,-4.071724118346927,16.378554714939096,-42.12903565386808,0.8197758203446759,-12.662323993271576,-4.09611713974587,False,23
14,-7.2,-9.0,-3.600572504733221,16.359079860991237,-42.29821797163454,-2.1988717983698507,-11.357576862952776,0.9747418732614381,False,32
15,-6.75,-9.0,-4.252699903472246,16.547296754508174,-41.77901607676681,0.42879345864010926,-12.633539518523545,-4.030991492979777,False,31
16,-6.3,-9.0,-3.9743973374000157,16.67381223775211,-41.518774715200266,-2.3907297588779923,-15.423705637076162,-0.3490069870647659,False,20
17,-5.85,-9.0,-4.184528077195976,16.982167461739238,-41.86734894242706,1.427501496345628,-12.974184162527695,-4.956007601877181,False,32
18,-5.4,-9.0,-2.9973609786545654,17.30889428612848,-43.618095628387266,-3.8917749440962535,-13.626333300643754,4.052693391246575,False,27
19,-4.95,-9.0,-3.322570197659943,17.05243637137966,-43.54302830621702,1.0791607746453333,-13.553315069221462,-2.8512745315141768,False,22
20,-4.5,-9.0,-4.015620316383029,19.628154486825323,-41.69017191966741,-0.66344031917706,-19.10872445595785,-1.7946899270132852,True,55
21,-4.5,-8.55,17.022936522202656,19.393388521765814,-40.36177744471616,-0.30744040289067875,-12.888551055970721,32.159809931041245,False,35
22,-4.5,-8.1,32.14117369534146,13.993810458525264,-37.51353244590441,0.9453190550204088,-14.922874011401001,56.10952136536257,False,22
23,-4.5,-7.65,40.31185815324243,9.114724786411577,-34.72734873418688,-2.791995655749738,-14.448262816084993,71.30076839975568,False,30
24,-4.5,-7.2,43.786874127672284,7.686018365779867,-32.76426377714105,0.608795432431292,-17.290216501424563,75.30367202108499,False,18
25,-4.5,-6.75,46.9873270365778,6.174329266662231,-29.25944522335332,-0.5628721495559332,-13.502235531116503,78.18144037284007,False,34
26,-4.5,-6.3,48.681099381530046,6.707263843961649,-26.024573254760202,1.9810930560387285,-15.571093788731403,79.67328315570562,False,25
27,-4.5,-5.85,49.35321480529045,7.900558635578989,-22.693690915864742,0.10607499097430428,-17.453823961561675,81.53101093631794,False,32
28,-4.5,-5.4,49.001211984668664,9.66415226296606,-20.79336253055413,2.5052854923962595,-16.613061170545507,78.86219789583978,False,25
29,-4.5,-4.95,49.11503013423794,9.08192507858984,-20.239818776134722,-2.686396207249617,-17.952843277732597,82.57530686487807,False,24
30,-4.5,-4.5,49.12926372570997,8.379395478881397,-20.52908513450589,2.3814832913288373,-15.413001342041952,79.93006404401476,False,32
31,-4.5,-4.05,49.59701179228799,6.288381404153339,-20.599784085588315,-0.958065124534361,-15.86943584696408,83.99751276300631,False,22
32,-4.5,-3.6,49.495525068338004,5.049137472480814,-21.707853435343992,1.5242412087559152,-12.57441933067107,82.1367102987362,False,32
33,-4.5,-3.15,49.59697473998612,3.4447999035173575,-22.681007791171137,-0.5233074849791964,-13.755302736143898,84.94097838638092,False,28
34,-4.5,-2.7,49.45030882214857,2.7791604582544163,-23.44155436572799,2.424427773905161,-14.002285021508241,83.97243988752756,False,23
35,-4.5,-2.25,49.35873687077383,1.9004199806922357,-24.138432867227614,-0.6170096842836498,-14.415497312463456,86.26466774874062,False,27
36,-4.5,-1.8,48.86619062964401,2.328261427057107,-25.41643501325315,0.3994906024602397,-14.50188011176373,84.70621725458307,False,25
37,-4.5,-1.35,48.719840422040214,2.0798561583861415,-25.830799719169825,-0.3123856417963715,-15.278026196398944,85.40734451592392,False,30
38,-4.5,-0.9,48.52293351735218,2.558810859508984,-26.593372623181992,0.962984286588598,-15.881660791763347,84.32789948438403,False,22
39,-4.5,-0.45,49.13995015628728,1.604355525156556,-27.426231748624858,0.5544797661311545,-14.091088511223932,84.23877557771965,False,36
