node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-45.0,-9.0,4.273174011810965,-0.844891329848248,-35.62920914359715,-0.4378514766512232,1.9377503083465257,0.18709279950202962,False,23
1,-45.45,-9.0,3.837404349234104,-1.3675153788959982,-35.208558661232,4.445667447441605,1.0801444743476933,-8.009471543670102,False,32
2,-45.9,-9.0,3.228556077467541,-1.0057767723010544,-35.065944251099296,-0.759684908167677,-4.9937156445131645,-1.38527003061936,False,31
3,-46.35,-9.0,2.807753682412089,-1.2871302997804208,-35.25780075152989,3.032768712502581,-6.014584814487219,-9.233583121578548,False,23
4,-46.8,-9.0,3.0238386584964045,-1.3862166267760554,-35.6684345033791,-2.0588002600879283,-10.09455399081772,0.4706158605839782,False,27
5,-47.25,-9.0,3.155696295777891,-1.1170964867046764,-36.69656629988926,0.21759075862078905,-10.348096582555193,-3.774625041006565,False,22
6,-47.7,-9.0,2.7723353214256616,-1.5889817134105413,-37.58159436304305,-1.372684236065941,-8.241069652739725,-1.7998518134684405,False,32
7,-48.15,-9.0,2.2060507316617883,-2.4845200032438437,-38.51155469132314,1.143580259065685,-8.096504222947223,-9.09179613756557,False,22
8,-48.6,-9.0,1.8892823751461163,-2.6430174184137503,-39.0368715675516,-1.8875607304404418,-10.541563759696984,-4.1727420059790745,False,23
9,-49.05,-9.0,0.6753365842843476,-2.883938164359082,-39.89648099061767,-0.13302045649655742,-7.368684045872497,-11.247648472583489,False,31
10,-49.5,-9.0,-0.413655705286267,-3.212517571150014,-40.49030312991512,-3.6597657612798455,-8.528464246629538,-7.637392607751995,False,27
11,-49.95,-9.0,-1.813080281733962,-3.9969166973111756,-40.89210397341224,-1.6462923778278624,-5.6676045801448405,-14.603595375105856,False,22
12,-50.4,-9.0,-2.724553607431911,-4.03171327582117,-41.098698673158765,-2.2947216435780415,-8.835518988976562,-17.50907974976466,False,32
13,-50.85,-9.0,-3.438340378770603,-3.951840996610599,-41.19337938380145,0.39484975588383464,-8.469750952349344,-24.65612663074851,False,23
14,-51.3,-9.0,-3.3079334817357795,-3.489946966566823,-41.31566429751866,0.9186219796531319,-8.158526418729164,-24.484975311625433,False,31
15,-51.75,-9.0,-3.3876835426295018,-2.572697740234682,-41.399469832962055,0.9174041909150439,-9.100661994988311,-24.197887476585922,False,22
16,-52.2,-9.0,-3.34344414687344,-1.4760097577787532,-41.196520017592874,-2.9459311788344,-11.262092837548137,-17.35409061920229,False,27
17,-52.65,-9.0,-3.7947553188267773,-0.9217044811504604,-40.83434694680661,-0.6012698245726644,-8.610996297954054,-21.19341158226207,False,22
18,-53.1,-9.0,-4.003153328982864,-0.10027961916760855,-40.230660329937564,-1.3485931149315902,-10.588897423495954,-21.15028591372291,False,33
19,-53.55,-9.0,-4.352679526185034,0.6864933320555798,-39.447987788480276,1.4529729744749305,-10.75863961113913,-26.50037234290679,False,22
20,-54.0,-9.0,-5.325938864577394,2.2522783129525963,-37.53166119773357,-2.09454809059575,-17.47371844882668,-24.240429776531304,True,67
21,-54.0,-8.55,-8.30142063799566,-6.318691636657725,-33.150015180244,3.027672259415401,-11.440756012203135,-53.821590208946475,False,31
22,-54.0,-8.1,-9.94674565313629,-15.820483342888338,-27.484147464963122,3.2483155415752907,-10.974168002224971,146.43410568586512,False,27
23,-54.0,-7.65,-10.952418031225971,-19.122874403350348,-25.437390176830903,0.2128360117083947,-10.897324104270181,203.4676088504403,False,22
24,-54.0,-7.2,-11.255965911380683,-21.473229392987374,-24.469341201019596,3.4945040764696595,-9.740516764797992,231.38435353059404,False,23
25,-54.0,-6.75,-11.248738941003763,-23.329540390434634,-24.110222702600304,1.4306514047927934,-12.425478701605224,236.173675252592,False,28
26,-54.0,-6.3,-10.43094727099657,-24.565965300722635,-24.148107072298497,3.297517095386657,-9.565310130157286,224.2844565882221,False,28
27,-54.0,-5.85,-9.662826694290882,-25.105791637324163,-23.022267792503634,-1.926513012506457,-11.368142277149213,226.92530882186898,False,28
28,-54.0,-5.4,-8.363084038716899,-25.456746316945438,-22.206631265914858,3.25212660545351,-11.106480826956554,225.11580200376818,False,23
29,-54.0,-4.95,-6.842525949575715,-25.065655068312616,-21.583531880561313,0.49833816452094837,-12.30394496027298,217.455048637098,False,22
30,-54.0,-4.5,-5.395765069700233,-24.333392069030978,-21.202439047170554,2.9328267201331917,-8.34834192616434,222.42637076353023,False,31
31,-54.0,-4.05,-4.76711255837535,-22.823753084412274,-21.10770333544485,-0.4687680109671973,-9.512880569458751,219.57815673325797,False,27
32,-54.0,-3.6,-4.249812240236346,-20.70749157673275,-21.576347303721356,2.2500808153524625,-8.220049610121777,231.46443708073383,False,22
33,-54.0,-3.15,-4.701139333718213,-18.008529612076863,-22.17533349238488,0.4923258870643754,-9.374797208119368,232.24556300684714,False,32
34,-54.0,-2.7,-5.470141137808163,-15.641715249725246,-22.8709053617658,1.854099522563001,-7.5315574530054485,77.25262124619977,False,23
35,-54.0,-2.25,-6.946753291346387,-13.93124207419907,-23.43156886674096,-1.505435559142114,-7.960886427184722,-7.185875420207889,False,33
36,-54.0,-1.8,-8.36227431933089,-12.80477031599586,-24.113063840721594,2.2055887344992424,-8.631525176298052,-67.42445354447828,False,24
37,-54.0,-1.35,-9.606446443896669,-12.218028859667621,-24.90006998058707,-2.1579629727080665,-8.623636648850596,-50.84364201906471,False,29
38,-54.0,-0.9,-11.058734512773986,-12.131055533385432,-26.275051511757617,1.1530079964733735,-7.914601543901428,-76.60060951591657,False,30
39,-54.0,-0.45,-13.945159435477782,-12.634901595950069,-27.623419487754422,-1.6686958276870156,-10.599374114242615,-51.226868670796485,False,24
40,-54.0,0.0,-15.87963025087576,-13.514809983196066,-29.243616408599,2.52237004365776,-10.825627501419376,-6.742285798169583,False,23
41,-54.0,0.45,-18.85185136922643,-13.945378672690616,-30.856659692214606,-1.746508922581524,-10.211363569665895,-58.437457906838226,False,31
42,-54.0,0.9,-21.421477621921515,-15.287317893092757,-32.00204826404188,3.202929469910561,-9.358638162756783,7.557807751363028,False,23
43,-54.0,1.35,-23.97496900034996,-16.379728231927082,-32.525675253167265,-0.6936935641291535,-10.320769450961198,-38.31841121938431,False,22
44,-54.0,1.8,-26.001538200968568,-18.354502911093608,-32.71107949219393,1.2592930866796612,-6.998023398397967,47.00772098629508,False,32
45,-54.0,2.25,-27.18940434062729,-20.113807937789556,-32.80399340689662,-0.07488792259637632,-9.873643639596299,96.97946436589321,False,34
46,-54.0,2.7,-27.778262909896917,-21.79358693626822,-32.62968962558011,3.072693243109651,-10.089112084769646,243.56406051406708,False,20
47,-54.0,3.15,-27.57464719922406,-22.90940763937631,-31.886456639189607,0.11350471504527174,-10.542944134889497,246.87462632458698,False,27
48,-54.0,3.6,-26.893732681016765,-24.140112134900242,-30.94253878028193,1.7142334693811647,-8.428945042013298,226.27368168503764,False,22
49,-54.0,4.05,-25.959414434357463,-24.962108283998397,-29.22501149893953,-0.5367942742036369,-7.50900086475314,237.63447198582105,False,36
50,-54.0,4.5,-24.468233739745468,-25.754321375519996,-27.49574456842663,3.41267817606971,-7.394985355794697,252.67977048450592,False,22
51,-54.0,4.95,-23.718163960141904,-25.373020492024683,-26.610207512736636,-0.3904614711501581,-8.88319733499886,251.6087771438256,False,22
52,-54.0,5.4,-22.062940013254156,-25.390024114626428,-24.864935643420846,2.6906544605647857,-6.576372131485336,250.40612247237166,False,32
53,-54.0,5.85,-21.230581001342504,-24.98104819884,-23.909849574653595,0.1435333345850993,-9.100810998477554,246.95885302705724,False,23
54,-54.0,6.3,-20.04100647059141,-25.274931241038054,-22.97034990543473,2.2572648600448773,-9.079551816265306,244.1736661262905,False,22
55,-54.0,6.75,-19.20779668967043,-25.43947151607044,-22.058803826356748,-0.41183868736196455,-8.285849420970932,243.34713978294116,False,36
56,-54.0,7.2,-18.207621537307382,-25.91852422661532,-21.6930214303317,2.2313781974297227,-9.014786131529561,239.94980622828677,False,22
