node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-40.5,9.0,9.782320679426192,-36.34050270557404,7.033054849505424,-1.6307932453174663,0.49954138792778635,0.11102053016236722,False,32
1,-40.95,9.0,10.306838968492297,-34.79424883014934,6.315212065692478,2.732280078775263,0.9609874667064512,-2.593055546939434,False,36
2,-41.4,9.0,11.18232026794165,-31.89050699496711,4.940465517262087,-1.365965286530739,-3.7560039781454617,-4.318075494732501,False,22
3,-41.85,9.0,12.929262735611779,-26.898240433323295,2.485506019022562,1.6399312867229558,-3.4083858478568345,-12.406865732054865,False,32
4,-42.3,9.0,14.54080061761453,-21.942374543431065,0.3492460331045858,-2.7776716074691814,-3.4135936366201878,-21.30596682590463,False,32
5,-42.75,9.0,17.845295473166043,-16.246791993527747,-1.4118261772397351,1.928739424944902,-3.0589909983314545,-39.08682940542329,False,26
6,-43.2,9.0,20.920495691006042,-9.911324545350773,-2.155156765554397,-1.244262080377325,-3.609684994589028,-55.03405392674561,False,32
7,-43.65,9.0,23.470994303772198,-3.991042986361137,-2.991244453042517,2.9195804212596697,-4.572404422749041,-72.03740361273869,False,27
8,-44.1,9.0,24.754086034564175,-0.5288058182016496,-3.117910608125907,-0.2816078315709319,-5.000827947604488,-77.70147375758168,False,27
9,-44.55,9.0,26.315488010763417,0.9423902990250206,-3.79034927272275,1.2000914252662491,-5.296962182222584,-81.74912801243707,False,26
10,-45.0,9.0,27.828512422812814,-2.1012400276617713,-3.8512764675398894,-2.708044827303248,-6.561202829350106,-73.88430505620676,False,23
11,-45.45,9.0,30.44115309832098,-10.014000900132817,-1.5066714735151892,1.2964375780600963,-5.17530886831403,-61.14072860941491,False,32
12,-45.9,9.0,32.048606983424435,-25.485720307538433,3.4600741957210435,3.473778568696504,-12.291319640763774,-37.70057818046328,True,59
13,-45.9,8.55,0.2609888610649842,-32.403996978207346,1.5838989376632506,-1.0587083747460448,-6.110684380246866,18.219566168462933,False,36
14,-45.9,8.1,-19.674348135745642,-29.44432389156668,-4.323059139624559,3.130029244977503,-7.301244671115859,55.02145937696803,False,22
15,-45.9,7.65,-29.625863770376714,-29.578139890478344,-11.291418051911728,-0.7613935846480454,-13.241097993422558,67.98532280435671,True,68
16,-45.9,7.2,1.8705848987912155,-39.95723309811276,-3.393512004826605,3.382888512366854,-5.6986609848776375,15.000716435914498,False,32
17,-45.9,6.75,24.666157045454767,-38.81624898689653,1.7748438770292088,4.590507021298753,-5.354536712591554,-19.901943014272465,False,31
18,-45.9,6.3,30.03265090139261,-35.855329106178324,2.9621399768921957,0.7542536181998858,-7.127642329357212,-26.672066779553738,False,27
19,-45.9,5.85,30.796233956263663,-31.190110283426524,0.8891063189501064,4.321475706078806,-6.5806029262789805,-33.14879623974369,False,31
20,-45.9,5.4,29.625517093241204,-28.08002162563864,-2.1326315135277594,0.11917491706668269,-7.039536237263859,-35.4244009886112,False,23
21,-45.9,4.95,28.599627024823477,-25.84487860494814,-5.3438574176401845,3.857219672105995,-6.066743368643858,-39.857741126686705,False,31
22,-45.9,4.5,27.97644852775363,-25.120241296413983,-7.4185056857315,0.8839831464058657,-6.214076946185885,-40.86035303165635,False,27
23,-45.9,4.05,27.62804998909189,-24.91186956584646,-8.988025332573189,2.8268913827271493,-7.205909311642159,-41.27748961482389,False,22
