node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-13.5,-9.0,-0.8137500058049744,1.3299457446388572,-42.159783371635086,-3.5236238441194083,0.135641267239288,5.515894813424834,False,23
1,-13.95,-9.0,-0.9291122970754451,1.6165405554424632,-42.409862470037275,1.921662229075109,3.7927336522936788,-1.9332068097586999,False,22
2,-14.4,-9.0,0.1751111531659723,3.865794164308739,-44.00620622649994,-5.166258785692186,-4.411366521032549,10.659769014343784,False,32
3,-14.85,-9.0,-1.7914744423292663,5.133393385242196,-42.999037168304255,-1.1930799982722207,-4.592283980381694,-0.04334352616134551,False,31
4,-15.3,-9.0,-2.7281637812013497,5.601175964108263,-42.55470565988027,-6.060619355756385,-5.467542263771223,5.66399228702249,False,28
5,-15.75,-9.0,-3.2301250977309053,5.838598487594887,-42.69017513378415,-0.6130681286542686,-5.75669218511344,-3.8965830557439887,False,22
6,-16.2,-9.0,-3.0921722751226937,6.373809184427751,-43.2745091298958,-5.975455230059205,-6.151859175363938,5.025076522623895,False,22
7,-16.65,-9.0,-3.514268102518946,6.839078252091789,-43.31119587579776,-3.2097435690962914,-5.251096016508749,-0.0060065184584203735,False,32
8,-17.1,-9.0,-3.4657358347178113,7.680915843057675,-42.870461229126164,-7.254191587338695,-8.420037119472532,5.904601904953211,False,22
9,-17.55,-9.0,-3.689929669297077,8.738296706912273,-42.57778778590676,-3.300388613164098,-7.26819088637809,-0.038665580535417216,False,36
10,-18.0,-9.0,-2.4712411425965812,10.257890829640223,-42.86823311781366,-7.725162465795837,-8.47779994571607,9.2778639412503,False,22
11,-18.45,-9.0,-1.8837164197572052,11.009720283862263,-43.41301637649352,-1.8562754649932416,-6.486849912774267,2.593912414718986,False,32
12,-18.9,-9.0,-0.7764353159928012,11.871612957097664,-43.961592661414564,-6.726513338873475,-8.761130432823492,11.566931702908686,False,23
13,-19.35,-9.0,-1.050205857179045,12.327360183314804,-44.00233230341638,-1.4838222239586965,-6.6181835787418075,4.035472440265319,False,31
14,-19.8,-9.0,0.08411441133540253,12.721660083086642,-44.88109807917419,-5.33529292894041,-8.790378469348282,11.429593764672324,False,22
15,-20.25,-9.0,-0.4907402570124837,12.759547906460469,-45.00853731345712,-2.720184287735816,-8.120243146776614,6.397464250779655,False,27
16,-20.7,-9.0,-0.5350700459367279,12.520325965845274,-44.705223322976,-5.166020754825713,-7.947691065812441,9.866645376021651,False,32
17,-21.15,-9.0,-1.18133360584057,12.263457155516308,-44.42529057987115,-0.7000379683672594,-9.063232226549836,2.1146079290576854,False,22
18,-21.6,-9.0,-1.263163694148719,11.985434507426783,-44.142954198628,-5.494405858996551,-8.942586942945677,9.036984369171615,False,23
19,-22.05,-9.0,-1.7779648093597074,12.03476698449225,-44.56039443136353,-2.724568251369711,-7.4080442705868155,4.143071581722919,False,35
20,-22.5,-9.0,-4.390928981317745,14.105937623003273,-43.941275959107784,-7.28339358669648,-17.07770271518083,4.949066370967485,True,54
21,-22.5,-8.55,-15.356394106828184,3.7759177578318455,-40.22665163106602,-0.9063344429024944,-10.994190392741231,-33.52808139979493,False,32
22,-22.5,-8.1,-20.223273568023163,-8.991123559635517,-34.859909355615684,0.90349446769983,-11.245079500468934,-12.150459744541719,False,27
23,-22.5,-7.65,-21.56268969686425,-16.353771526182815,-30.866514656861685,-3.3589021187525314,-10.972622430288924,277.5650135927128,False,22
24,-22.5,-7.2,-21.07789086411175,-19.74105820728966,-28.471707710276082,1.7008925276412583,-10.299816015153382,268.43707515470095,False,32
25,-22.5,-6.75,-21.171349222647436,-21.441306315916005,-26.16790878216292,-3.303610664455469,-12.549020135578793,261.06473765114293,False,22
26,-22.5,-6.3,-21.366342031841643,-23.399085249414725,-24.452906304868343,0.49404931632885124,-11.259894946940978,257.7600564787568,False,28
27,-22.5,-5.85,-22.691971696180055,-24.127473326412357,-24.432825661959363,-3.3528013087679023,-12.378242833079877,256.4147073270566,False,32
28,-22.5,-5.4,-23.969567224038904,-24.72460863315675,-24.81512173049143,0.686090746799389,-11.780335091658102,257.4763321878195,False,23
29,-22.5,-4.95,-25.040932098291098,-23.90672782692845,-25.884574126271335,-3.840719549293803,-13.603400166582503,258.7687730448345,False,31
30,-22.5,-4.5,-24.547246688242367,-23.500719539495364,-26.935368821405433,-0.7488325145014715,-13.642488871186906,259.86474370336555,False,27
31,-22.5,-4.05,-23.919680080497674,-22.255084338632425,-27.964356961281087,-3.4936320779863625,-15.669520698421179,259.92240491279944,False,22
32,-22.5,-3.6,-23.01311936089485,-21.659444092665975,-28.425269795763032,-0.5482479506956336,-14.571007158984948,261.80193399246804,False,22
33,-22.5,-3.15,-22.41106990368781,-19.873627330940803,-28.95662829917684,-2.535924008207866,-13.461911405323274,266.0583006395027,False,32
34,-22.5,-2.7,-22.11340228897005,-18.410665235295564,-29.120162929635814,-0.6634710875692301,-13.935329270581942,268.20884023357706,False,23
35,-22.5,-2.25,-21.886084714363406,-16.15515776736433,-30.33042961149062,-2.7674012995997743,-14.447114408585017,273.1624475317183,False,30
36,-22.5,-1.8,-21.768050966987055,-14.896668170876387,-31.669163821033937,0.3981998752520806,-14.16416913516961,276.6322514883936,False,20
37,-22.5,-1.35,-22.70570289733099,-13.371776571820329,-33.019073607182214,-2.230777993457392,-13.346173043739844,215.94158063540502,False,38
38,-22.5,-0.9,-23.78481947911911,-13.661008461279796,-34.42272436996542,1.119630444342935,-18.93621365177585,275.8484150868406,False,16
39,-22.5,-0.45,-26.267235903561605,-14.135282147686286,-35.029583961217426,-2.516131847080436,-14.923353316839888,269.42528240534904,False,32
40,-22.5,0.0,-29.002185648488485,-14.64653772230601,-34.50172447413664,-0.1530187062210584,-13.968987471857453,280.1777002643314,False,26
41,-22.5,0.45,-30.98277934118006,-13.980463777534421,-34.10900341112516,-4.004284532046554,-14.883661314495972,249.99206580510497,False,23
42,-22.5,0.9,-32.0454339729026,-14.125742991453587,-33.38957653860036,-0.9685328813095988,-15.637325454329028,279.6276533284541,False,22
43,-22.5,1.35,-32.67248375595752,-14.270059516461282,-32.106632125603404,-4.063258018945694,-14.69197337239017,268.74347010029874,False,32
44,-22.5,1.8,-32.7897079994438,-15.830220059004809,-29.76353620076823,-0.7453811235257686,-15.477845328713178,275.12391924387634,False,26
45,-22.5,2.25,-32.465474919751365,-16.856492769109106,-28.224127299838784,-2.57805894172698,-15.91172074992969,272.6870050875411,False,24
46,-22.5,2.7,-32.056654362444796,-18.27173198431679,-26.497766472464527,-0.7024216305435317,-15.174384194947203,269.84997338429724,False,28
47,-22.5,3.15,-32.058341846629865,-18.06251468169266,-24.958964226255635,-3.7928084190812292,-15.784064454228686,269.3390887316417,False,27
48,-22.5,3.6,-31.236726385490044,-18.151603203526573,-23.861326694945948,-1.2357967729429584,-15.867675486571198,267.9212822324107,False,22
49,-22.5,4.05,-29.375400773675608,-16.831742195621565,-23.54649302249929,-2.7651643955740153,-16.156075991073852,268.84547286965307,False,35
50,-22.5,4.5,-27.10978516302853,-16.53248036810405,-23.49306632196116,-0.19713554806724617,-16.90377030968379,267.42850381714965,False,23
51,-22.5,4.95,-25.538571548170466,-15.538843103375287,-23.452934039434854,-4.6962306972827905,-17.555756353564888,268.16355975221035,False,24
