node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-40.5,-4.4,-4.27852984058857,2.044275038182736,-37.71803573131561,-0.7339529715657787,1.6474440359022413,0.9343876385065775,False,32
1,-40.95,-4.4,-4.653851902896587,2.2547188922571033,-37.27450319500263,0.6595474266076254,-0.14380510267978794,-2.8583424159789703,False,26
2,-41.4,-4.4,-6.424750013043064,2.836425649531312,-36.760068307722086,-3.5234884258909407,-4.121997458050166,-2.6821774943521413,False,31
3,-41.85,-4.4,-8.149763604580599,3.4306445440970386,-36.58930612967592,-2.92400265060384,-3.166325772448648,-6.108814656589489,False,42
4,-42.3,-4.4,-8.432148695043473,4.492387296405592,-37.70432862931336,-4.064221682524256,-4.028425702742192,-4.1176811497822365,False,32
5,-42.75,-4.4,-8.117116023801728,4.86338670931205,-38.6129887704746,-1.1518715773775114,-4.487826114863309,-7.31170237774807,False,27
6,-43.2,-4.4,-7.210641349702259,5.168763427736367,-39.83608236956947,-3.2403855569916846,-3.7546045846025216,-1.3172813657012292,False,32
7,-43.65,-4.4,-6.970814357243827,5.078319064655313,-40.459212179734145,0.5749160478257515,-4.116247999654393,-6.52738788282383,False,28
8,-44.1,-4.4,-6.6897477249999975,5.664179498517307,-40.653185620010355,-2.794972320420873,-2.5266039243001965,0.32252798014558537,False,31
9,-44.55,-4.4,-8.195350854463104,6.931785972917759,-39.00123577765732,-5.009634763350783,-8.771751199182566,-1.8066842048115577,True,67
10,-44.55,-3.95,-14.39326727553538,-4.470486494654928,-32.475117968480305,5.030380968366555,-4.690629772904715,-43.932854938676115,False,38
11,-44.55,-3.5,-15.087695986730056,-15.472093196444314,-27.61181711457827,-1.2043264279400046,-3.8866717615075412,205.46634425948332,False,30
12,-44.55,-3.05,-15.386098379449367,-20.036699466170088,-25.521541144468767,0.05405730544118483,-4.702585639089877,275.040139730788,False,22
13,-44.55,-2.6,-15.960413216955583,-21.85366389077958,-25.298950013695112,-2.023596426449438,-6.009609111115926,269.14134650889844,False,32
14,-44.55,-2.15,-15.898498755298322,-23.316081456262957,-25.025138447045602,-0.5940617500737999,-2.0352364802702683,271.08236545276554,False,31
15,-44.55,-1.7,-16.089877711309978,-23.55056191894469,-24.738874401682875,-3.1000246147493886,-1.5309189482030074,270.8335631990719,False,27
16,-44.55,-1.25,-15.510564611752418,-23.861706542024546,-24.32917962365544,-0.7744179431456492,-0.521698275092992,270.48593600015954,False,32
17,-44.55,-0.8,-15.252327450851768,-23.645985320953127,-24.248228370772303,-2.7475902324906647,-0.7647957432024497,270.07311753685275,False,31
18,-44.55,-0.35,-15.097690301624901,-23.47368809104914,-24.265178896873227,-1.2446051997241274,-1.0886734806365934,270.0442863217769,False,27
19,-44.55,0.1,-15.469556518572826,-23.338411968490355,-24.490634419904385,-4.242946904968674,-0.9650255565261118,271.1631574115999,False,31
20,-44.55,0.55,-15.105390888600773,-24.015058142868497,-24.750226054142658,-0.6709944105233008,-1.3937867605813927,269.4754790082354,False,23
21,-44.55,1.0,-14.742138824543199,-24.63502392870057,-25.28697938907566,-3.0819368191834116,-1.5328075067588485,267.6485862146109,False,32
22,-44.55,1.45,-13.706865518175332,-25.084742014898918,-25.839182340521116,-1.8677370298284381,-3.00552432092061,264.7072836472471,False,28
23,-44.55,1.9,-12.536976011435758,-25.116744218354796,-25.87555846171869,-2.0266960608653073,-2.164225705587779,263.97962513154386,False,31
24,-44.55,2.35,-10.593251433503447,-24.970070142877436,-25.6023673389997,-2.149478850250789,-2.8921949197507164,259.81345107028085,False,27
25,-44.55,2.8,-9.63038445638534,-24.185384756241138,-24.986477310392956,-3.7259600688414953,-2.6661331830663837,258.2472205494314,False,32
26,-44.55,3.25,-7.915456260289114,-23.004520451594324,-24.371582184611437,-1.6904908585592435,-1.950414532641077,259.4471740237694,False,31
27,-44.55,3.7,-7.293254439030536,-21.27975739067106,-24.485036458953466,-3.580745278722588,-2.2212334198709067,261.75872695758943,False,27
28,-44.55,4.15,-6.957054005785839,-18.99690389376262,-24.847913229415443,-1.1642370835929865,-1.4717944328463886,273.54855824670454,False,31
29,-44.55,4.6,-7.360067600391671,-16.328041098423817,-25.507554688266612,-4.807808831372257,-2.6241059296808666,236.9584180440632,False,23
30,-44.55,5.05,-8.419708692847362,-13.846132234258908,-25.92170389353458,-2.5743158099958006,-2.1283849318375094,53.58194402033903,False,31
31,-44.55,5.5,-9.682030400594552,-11.868733363715087,-26.5349248489942,-3.9729835513733653,-2.7110868453695662,-1.3936908439118691,False,27
32,-44.55,5.95,-11.05260433524268,-10.428810951647684,-27.224752414191542,-1.5685767548326992,-2.026818579947267,-30.8082697453867,False,37
33,-44.55,6.4,-12.070688607241394,-9.656753195964086,-28.372271910325722,-4.184475678159182,-4.257082847265738,-49.04475811326397,False,23
34,-44.55,6.85,-13.060498681851017,-9.712630161205595,-29.569887592191513,-2.3589015089541023,-2.108764602771437,-46.48432740908012,False,32
35,-44.55,7.3,-16.206487418979105,-10.564419475845247,-31.34249942060877,-3.849478766086325,-3.303005559630001,-29.657246730162782,False,35
36,-44.55,7.75,-19.439738970351264,-11.342947494905308,-33.03868530491907,-1.4239347554902293,-4.9518710691268595,-56.05296310190804,False,23
37,-44.55,8.2,-22.0661835830713,-11.621586836608692,-34.286069927429374,-4.151679376511796,-5.979345241413028,-23.473644051153908,False,22
38,-44.55,8.65,-24.356122136239414,-13.162114779691594,-35.261825400463366,-1.3450111020171187,-2.8398688089982844,-23.09970237015844,False,32
39,-44.55,9.1,-27.04772649557327,-14.523272194830124,-36.38923972417801,-3.289992663897606,-4.009186019751076,-12.874063788139594,False,31
40,-44.55,9.55,-28.820513403401716,-16.1686320968173,-36.66867867128662,-1.4257295358334645,-3.4542728951370076,44.307514674512305,False,27
41,-44.55,10.0,-30.02672883762172,-17.643425478025925,-36.732831280475395,-3.697398091653673,-3.8142287474937713,56.07040009645088,False,27
42,-44.55,10.45,-30.381822642275036,-19.363457097637596,-36.42237417715436,-0.8475088999791802,-2.654855320050001,138.91732764835533,False,28
43,-44.55,10.9,-30.158731025514577,-20.544737592337324,-36.19487188779843,-3.10927866562828,-3.644860715238047,266.3697680774914,False,29
44,-44.55,11.35,-29.31819074826459,-22.099664841121474,-34.68277164888916,-2.193717245481793,-2.921838775665395,264.9840442162703,False,31
45,-44.55,11.8,-28.34919016312702,-22.83863168232926,-33.6176978309726,-3.00807632846763,-4.871962602838486,283.9318686420047,False,27
46,-44.55,12.25,-26.481666865062174,-23.65998428564189,-32.231586979286774,-0.0030973546407489505,-2.9577127332096893,282.41691925606005,False,32
47,-44.55,12.7,-25.53012125823657,-23.228022874185864,-31.297097817217605,-3.0570795973908007,-6.230769142677351,279.0798321747686,False,22
48,-44.55,13.15,-24.56174788098548,-23.050177162912284,-30.289111924211184,-1.031934767698798,-2.996065322037567,281.3093535064241,False,37
49,-44.55,13.6,-23.464953769993297,-22.622059146989034,-28.987648401681707,-2.893587805772787,-5.229082541579753,277.98377071949574,False,23
50,-44.55,14.05,-22.27492892010075,-22.88032779984462,-27.99064682652913,0.0186724220617541,-1.854299977265294,279.4713174221518,False,31
