node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-31.5,0.0,-19.350000381469727,-17.100000381469727,-22.5,0.34285922395652735,0.24141222976438212,0.0993939086614617,False,4
1,-31.95,0.0,-19.483859123561697,-17.01401113758916,-22.386032608695647,1.5485631917711848,0.9112368927509027,-15.55928951775839,False,23
2,-32.4,0.0,-19.756570012010844,-16.373817174965996,-22.584257555389406,-1.676804444760552,-4.882132905986909,-3.5831611924253943,False,28
3,-32.85,0.0,-20.342424897269357,-16.120747071866376,-21.909166395308567,-0.21422595434521785,-5.662906851575809,-4.739145277580314,False,33
4,-33.3,0.0,-21.053926051135512,-14.942820000159328,-21.597708275770838,-5.330722166630993,-9.127895703444649,-4.635797171318488,False,23
5,-33.75,0.0,-21.858576586827485,-14.377760216375053,-20.738196576720433,-2.494851616464893,-8.236295586865326,-3.933030392725545,False,27
6,-34.2,0.0,-22.686643800987394,-13.70944117981987,-20.60178856669219,-4.073225502458061,-9.126837174666958,-3.1558957692527434,False,23
7,-34.65,0.0,-23.58950356897689,-13.763064453445164,-20.37609208116495,-1.6952375250375398,-7.8190628694078255,-2.652820728940582,False,32
8,-35.1,0.0,-24.50895470139725,-14.01695928542758,-20.22597658358784,-4.905653831796677,-9.887665213424825,-3.7295682326880724,False,23
9,-35.55,0.0,-24.932713350448154,-14.910747544874576,-20.108606307461887,-0.393832281206116,-8.721007130937828,-5.940984464844072,False,31
10,-36.0,0.0,-24.844341120266684,-15.687082760167705,-20.710942433190244,-4.770421494493456,-9.1881450986005,-5.8026607994576445,False,27
11,-36.45,0.0,-24.247120936783745,-17.196535424079403,-20.417827645212892,-0.5837520217937336,-9.995276413549503,-10.791710613115509,False,22
12,-36.9,0.0,-22.936577931195604,-17.461012443773356,-21.038230202388494,-4.202107558012541,-10.807985396854864,-11.490099476636367,False,32
13,-37.35,0.0,-21.619511756874484,-17.806929223593098,-21.126277144594585,0.440327001487233,-10.554422286174528,-13.251402154945625,False,22
14,-37.8,0.0,-20.993050634865135,-17.571898018642027,-20.56918977769746,-3.011909562152476,-10.25261482666356,-12.948801297462705,False,28
15,-38.25,0.0,-20.246420508217703,-17.585054000069054,-20.09254113818309,-1.3592198190668228,-9.811333550563669,-13.875496595371512,False,28
16,-38.7,0.0,-20.18682303086368,-17.74395682390816,-19.90841898084056,-5.7909250475912435,-10.518401794085914,-14.462105775995889,False,28
17,-39.15,0.0,-20.096821074130833,-18.45078241599464,-19.93901990389318,-1.717195458370307,-10.373987790228686,-16.33451800745321,False,28
18,-39.6,0.0,-20.21436799900615,-18.22507132829648,-21.00250209064821,-5.219995701384372,-12.678643489653952,-16.685167267271947,False,23
19,-40.05,0.0,-20.063970609664533,-18.14726343213924,-22.00169651260501,-2.188204490539493,-11.323984450216036,-14.633651662759725,False,22
20,-40.5,0.0,-20.546593170084904,-17.985625622726005,-22.050009945921204,-3.5144620987546054,-10.206916011802157,-12.498182098149705,False,32
21,-40.95,0.0,-20.70967742185235,-18.410097791423908,-21.706509785967068,-2.061084504604392,-9.033630859743566,-12.625588494708484,False,25
22,-41.4,0.0,-20.793713557390067,-18.6501501648505,-21.671654719720507,-4.504577565515601,-11.045044197924971,-14.928144811764477,False,24
23,-41.85,0.0,-20.295736809887423,-19.5936621095495,-21.65219692633199,-1.3046704812055698,-8.77730638985772,-15.129101240887021,False,32
24,-42.3,0.0,-19.66420405387246,-20.873694974870553,-22.03334323504359,-4.177354062729039,-10.223018821606024,-18.955930434664083,False,31
25,-42.75,0.0,-18.827815638118505,-21.948118652092734,-22.679962830939772,-2.661852376999968,-11.127839134789665,-22.13215507109471,False,27
26,-43.2,0.0,-18.73582045573011,-22.363013884662852,-23.24196946862595,-4.942107200470423,-12.773731703045057,-24.250844979331706,False,22
