node_index,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,right_angle,segment_size
0,-40.5,9.0,0.23915323963088367,-38.38935569024855,9.27798425243747,-1.1737750445986124,1.631881487903131,0.05737276334327413,False,31
1,-40.5,8.55,0.9096587377299438,-37.56943120541779,9.321352620398478,4.277040236367738,1.4987510275702085,-2.559923406226777,False,23
2,-40.5,8.1,2.154894726458601,-35.098675515590116,7.615634263524885,-1.481301494697768,-3.1182644180200683,-3.1047269149425585,False,35
3,-40.5,7.65,3.9288859498125928,-31.345659424495793,5.074670424576653,0.36437599980771135,-5.572200535422552,-7.1091028556031635,False,23
4,-40.5,7.2,5.694792858857093,-25.876586401759983,1.205966943664775,-1.8129933860775858,-5.961425618209932,-12.984347260866555,False,29
5,-40.5,6.75,8.600978586699297,-20.38245987298288,-1.7591754840376457,0.4063696577480047,-5.37075083452319,-26.828098421817522,False,31
6,-40.5,6.3,11.573156203064926,-14.046910642753094,-3.046787252020272,-1.9974323750135263,-6.88864039253457,-48.15181758894421,False,31
7,-40.5,5.85,14.025230211084875,-7.812530658628019,-3.823751856408723,1.7363185970155448,-6.585910837280599,-74.21780633578605,False,23
8,-40.5,5.4,15.311643164344012,-4.693296559374327,-4.260223082543818,-2.4327779185748826,-8.948699651460343,-83.54625692901742,False,22
9,-40.5,4.95,17.379424296872376,-2.4853199051704107,-5.149843163885142,-0.14126794638535836,-6.217587467386687,-94.67745967123652,False,31
10,-40.5,4.5,20.233323066438786,-5.050426379068671,-5.516822627444686,-3.732210439409872,-7.603866204805928,-86.32117393788131,False,31
11,-40.5,4.05,22.08982986045826,-10.572554737370721,-3.0991913835892633,0.035214194786434144,-8.516018222469029,-72.82826818525493,False,22
12,-40.5,3.6,23.047312184768323,-27.280573774325166,4.1300746961476715,0.20303943741708563,-14.736811731112178,-42.55637457534348,True,64
13,-40.5,3.15,-8.06109256516988,-35.94030602929925,3.3473049633054694,-4.447297451316214,-9.392930140170222,15.995790140491913,False,32
14,-40.5,2.7,-28.53242908521437,-33.31098035394029,-4.092205959043211,0.45542116794317505,-9.44560263576176,47.33949914894924,False,22
15,-40.5,2.25,-37.76778601372597,-34.405723717338226,-11.022231991064743,-4.564000305915233,-15.895000904652079,55.80622106015335,True,68
16,-40.5,1.8,-8.444804895405246,-43.58352857952513,-4.151707486166902,3.1973451637894477,-8.268544170895215,14.623364704311312,False,35
17,-40.5,1.35,12.410935946126003,-42.94289058649667,0.3891838572825973,-0.6176994748740775,-8.741699099627887,-16.712978324460508,False,23
18,-40.5,0.9,19.613149445516058,-39.578016588117904,0.8368685139338432,-3.545759424592803,-10.54084854181147,-27.776599245973095,False,32
19,-40.5,0.45,22.305884349856065,-34.05798949473543,-1.7907561124292772,1.3366503291376552,-9.199010636907188,-37.18966373027637,False,31
20,-40.5,0.0,20.512447091847207,-29.13628424058714,-7.937103631813358,-4.148925715815216,-18.488832904089005,-37.87082385337261,True,58
21,-40.5,-0.45,27.015459938224776,-15.964223204404362,-14.636889923903917,3.961773420902496,-8.532070958341613,-78.66355994302904,False,36
22,-40.5,-0.9,28.995333737875146,-4.371467809532362,-21.67121228351492,-1.0479826887956267,-9.989594863597864,-105.70418685447947,False,32
23,-40.5,-1.35,29.90825563795607,0.7430854446950389,-24.834773631597486,-3.2804866391319645,-11.423368525773713,-113.49068242608377,False,22
24,-40.5,-1.8,30.262271060462083,3.2892906379960727,-26.185636036685537,0.09534569400411318,-6.821937878459893,-123.60074422445558,False,36
25,-40.5,-2.25,30.87817636047066,4.304733366878295,-26.450578188905606,-4.202941385805989,-8.130086558315533,-120.10502351830178,False,22
26,-40.5,-2.7,29.755734109687857,5.316118537281632,-26.106920205008464,-1.5659960349543698,-16.737168794309536,-118.83681031825466,True,68
27,-40.5,-3.15,28.6042818996296,-5.708471770173275,-20.84508310369002,-2.691770898066008,-12.520320807405552,-99.2887705512781,False,22
28,-40.5,-3.6,23.813537175520366,-17.090242592404557,-15.874058779800036,-4.5529363022921725,-10.021138525298557,-72.60599254210251,False,32
29,-40.5,-4.05,22.232913249272503,-22.690227287548502,-14.424790410908406,0.8455455250264806,-9.945823913460012,-59.11365528250657,False,31
30,-40.5,-4.5,21.934147694639236,-24.688614162593595,-14.553798194029994,-1.7820076415143167,-10.591722566403464,-54.63751614124616,False,27
31,-40.5,-4.95,21.83760936535446,-25.491678169924263,-13.973157713619923,0.6024616946794802,-9.339409097185067,-53.6917704287318,False,32
32,-40.5,-5.4,21.539698978713744,-25.265241826932755,-13.192950984621408,-3.032550840753197,-9.630082011686765,-52.960843451626815,False,29
33,-40.5,-5.85,21.619725277060766,-24.494176005320064,-12.356143520443602,-0.3792945953602962,-11.394578494604493,-52.06181329244372,False,32
34,-40.5,-6.3,20.92300741531293,-23.126578112714046,-12.202071274223279,-3.691774595243356,-11.649812434758164,-53.14033478091089,False,32
